,Countries,Total Cases,New Cases,total Deaths,todays Deaths,total Recoveries
0,"
North America
144,Barbados,67,,4 ,,11
145,Jamaica,65,+2,4 ,,13
146,Congo,60,,5 ,,5
147,Uganda,53,, ,,3
148,French Polynesia,51,, ,,
149,Sint Maarten,50,,8 ,,3
150,Bermuda,48,,4 ,,25
151,Cayman Islands,45,,1 ,,6
152,Macao,45,, ,,10
153,Gabon,44,,1 ,,1
154,Bahamas,42,,8 ,,5
155,Guyana,40,+3,6 ,,8
156,Zambia,40,,2 ,,28
157,Guinea-Bissau,38,+2, ,,
158,Liberia,37,,5 ,,3
159,Benin,35,,1 ,,5
160,Eritrea,34,, ,,
161,Tanzania,32,,3 ,,5
162,Saint Martin,32,,2 ,,11
163,Haiti,31,,2 ,,
164,Myanmar,28,+1,3 ,,2
165,Libya,24,,1 ,,8
166,Antigua and Barbuda,21,,2 ,,
167,Somalia,21,,1 ,,1
168,Mozambique,20,, ,,2
169,Angola,19,,2 ,,2
170,Syria,19,,2 ,,4
171,Maldives,19,, ,,13
172,Equatorial Guinea,18,, ,,3
173,Laos,18,+2, ,,
174,New Caledonia,18,, ,,1
175,Sudan,17,,2 ,,2
176,Dominica,16,, ,,5
177,Fiji,16,, ,,
178,Mongolia,16,, ,,4
179,Namibia,16,, ,,3
180,Saint Lucia,15,, ,,1
181,Curaçao,14,,1 ,,7
182,Grenada,14,, ,,
183,Zimbabwe,13,,3 ,,
184,Botswana,13,,1 ,,
185,Saint Kitts and Nevis,12,, ,,
186,St. Vincent Grenadines,12,, ,,1
187,Eswatini,12,, ,,7
188,Chad,11,, ,,2
189,Greenland,11,, ,,11
190,Seychelles,11,, ,,
191,Belize,10,,2 ,,
192,Suriname,10,,1 ,,4
193,MS Zaandam,9,,2 ,,
194,Malawi,9,,1 ,,
195,Nepal,9,, ,,1
196,Montserrat,9,, ,,
197,Cabo Verde,8,+1,1 ,,1
198,Turks and Caicos,8,,1 ,,
199,CAR,8,, ,,
200,Vatican City,8,, ,,2
201,Sierra Leone,8,, ,,
202,Mauritania,7,,1 ,,2
203,Nicaragua,7,,1 ,,
204,St. Barth,6,, ,,1
205,Bhutan,5,, ,,2
206,Falkland Islands,5,, ,,1
207,Gambia,4,,1 ,,2
208,Sao Tome and Principe,4,, ,,
209,South Sudan,4,, ,,
210,Western Sahara,4,, ,,
211,Anguilla,3,, ,,
212,British Virgin Islands,3,, ,,2
213,Burundi,3,, ,,
214,Caribbean Netherlands,2,, ,,
215,Papua New Guinea,2,, ,,
216,Timor-Leste,2,, ,,1
217,Saint Pierre Miquelon,1,, ,,
218,Yemen,1,, ,,
219,China,"81,953",+46,"3,339 ",+3,"77,525"
